"var"	"estimate"	"conf.low"	"conf.high"	"p.value"	"Group"
"K02945"	-0.0188449231878054	-0.0325187976039618	-0.00517104877164908	"0.00887220926687483"	"Disease"
"K00925"	-0.0193688169154704	-0.0350389118790502	-0.00369872195189066	"0.0237276187763564"	"Disease"
"K00012"	-0.0194951623488457	-0.0382423334441561	-0.000747991253535275	"0.024519115100815"	"Disease"
"K03043"	-0.0198835437004956	-0.0352081393369999	-0.00455894806399142	"0.0114824442741448"	"Disease"
"K07029"	-0.0200665878829927	-0.0390045647092712	-0.0011286110567142	"0.0297570451704086"	"Disease"
"K01424"	-0.0212177641093119	-0.0374358823586703	-0.00499964585995346	"0.0147412048562606"	"Disease"
"K00791"	-0.0212229153022136	-0.0409906967009864	-0.00145513390344084	"0.0485438926088226"	"Disease"
"K15633"	-0.0213553555551133	-0.0352243282594197	-0.00748638285080685	"0.000683366812794726"	"Disease"
"K00831"	-0.0214433691266751	-0.0345360236321745	-0.00835071462117565	"0.00234908439973323"	"Disease"
"K21636"	-0.0215034303512367	-0.0401626025870539	-0.0028442581154195	"0.0169426740858376"	"Disease"
"K07456"	-0.021517424763274	-0.0398321396938194	-0.00320270983272869	"0.0132574122560329"	"Disease"
"K01866"	-0.0217853129540308	-0.0370736068554011	-0.00649701905266052	"0.00605100188694443"	"Disease"
"K01940"	-0.0218769335323373	-0.0366053453519773	-0.00714852171269739	"0.00172828547353961"	"Disease"
"K18682"	-0.0222025601529811	-0.0429317849302134	-0.00147333537574871	"0.0207763931284584"	"Disease"
"K03737"	-0.0228494609567111	-0.0409173794295538	-0.00478154248386834	"0.00792397077071731"	"Disease"
"K03076"	-0.0228898846048136	-0.0366285179788922	-0.00915125123073505	"0.00256012699124204"	"Disease"
"K03040"	-0.0230918754166804	-0.0377242618990109	-0.00845948893434985	"0.00559366943950493"	"Disease"
"K00764"	-0.0234807194208203	-0.0432267306421716	-0.00373470819946889	"0.0348192897470409"	"Disease"
"K13993"	-0.0239004540678744	-0.0432747503817072	-0.00452615775404149	"0.0381912064445395"	"Disease"
"K01662"	-0.0255485310308194	-0.0464546864361394	-0.0046423756254993	"0.0261699411798132"	"Disease"
"K00876"	-0.0255910395244347	-0.0412590361440036	-0.00992304290486576	"0.00405655944234115"	"Disease"
"K04079"	-0.0277103178543587	-0.0424420086754515	-0.012978627033266	"0.000307331403107934"	"Disease"
"K09808"	-0.0277696305617928	-0.0510423913407392	-0.00449686978284645	"0.0222100107017505"	"Disease"
"K06131"	-0.0304213689537752	-0.0483750539200544	-0.012467683987496	"0.00151106720098876"	"Disease"
"K10206"	-0.0305028258479576	-0.0514504608750592	-0.00955519082085599	"0.0110726078171952"	"Disease"
"K01912"	-0.03057928307873	-0.0599209936395044	-0.00123757251795561	"0.0147412048562606"	"Disease"
"K02342"	-0.0308262135164617	-0.0496028315548435	-0.0120495954780798	"0.0027881012850664"	"Disease"
"K01006"	-0.0314419997362436	-0.0556485959226032	-0.00723540354988395	"0.00496521263158993"	"Disease"
"K14155"	-0.032045188334218	-0.0531657667111194	-0.0109246099573165	"0.0062918806509214"	"Disease"
"K03654"	-0.0323457180636347	-0.0524984163791764	-0.012193019748093	"0.00389379216512501"	"Disease"
"K01126"	-0.0340262156641565	-0.0607893700369642	-0.00726306129134887	"0.00290880205386276"	"Disease"
"K01740"	-0.0348671138671972	-0.0653941976856625	-0.00434003004873201	"0.0207763931284584"	"Disease"
"K00951"	-0.0350976438559661	-0.0595022253901248	-0.0106930623218075	"0.00605100188694443"	"Disease"
"K01880"	-0.0353677954883317	-0.056627706764048	-0.0141078842126155	"0.000509509025534809"	"Disease"
"K01915"	-0.0359431734582637	-0.0663517872221635	-0.00553455969436393	"0.0237276187763564"	"Disease"
"K01442"	-0.0362258720658425	-0.0590486439753906	-0.0134031001562944	"0.00206185537896448"	"Disease"
"K02564"	-0.036724922975174	-0.0567934838892471	-0.0166563620611009	"0.000461267758087026"	"Disease"
"K03701"	-0.0372530431419931	-0.0674849692402798	-0.0070211170437064	"0.024519115100815"	"Disease"
"K01270"	-0.0380876117250399	-0.0638002981141426	-0.0123749253359371	"0.00605100188694443"	"Disease"
"K03671"	-0.0407947757808013	-0.0647614203976774	-0.0168281311639251	"0.00114923256816823"	"Disease"
"K02171"	-0.0412810830791094	-0.0709278119507173	-0.0116343542075015	"0.00389379216512501"	"Disease"
"K00971"	-0.0423156624132117	-0.0769651301750519	-0.00766619465137146	"0.0163672064385063"	"Disease"
"K17836"	-0.042410791744639	-0.0712644242408879	-0.01355715924839	"0.00303418096764882"	"Disease"
"K00175"	-0.0434206731040141	-0.0729291917924511	-0.0139121544155771	"0.00373689464880068"	"Disease"
"K01991"	-0.0447771366682229	-0.0858770004105605	-0.00367727292588537	"0.0214829389808674"	"Disease"
"K01785"	-0.0448321823731292	-0.0756529874591913	-0.0140113772870671	"0.00267192583449854"	"Disease"
"K01130"	-0.0461256259788324	-0.0824894045567908	-0.00976184740087392	"0.00654122692705704"	"Disease"
"K01686"	-0.0479884574385025	-0.0794909311968632	-0.0164859836801417	"0.00422538505387108"	"Disease"
"K03100"	-0.0494721025960759	-0.0775127077383332	-0.0214314974538186	"0.00056234149245272"	"Disease"
"K00174"	-0.0494982769847544	-0.0810163602049191	-0.0179801937645898	"0.00267192583449854"	"Disease"
"K20509"	-0.0518964101455319	-0.0793459545682418	-0.0244468657228221	"0.000213086139951252"	"Disease"
"K15923"	-0.0532580385911458	-0.104723416506093	-0.00179266067619899	"0.0200899096680479"	"Disease"
"K07407"	-0.0553313358877666	-0.105401746266012	-0.00526092550952117	"0.024519115100815"	"Disease"
"K01209"	-0.0556526547986229	-0.0988505818593103	-0.0124547277379356	"0.00516732991081421"	"Disease"
"K01198"	-0.0700902175358234	-0.142918014365468	0.00273757929382077	"0.00706633328650595"	"Disease"
"K02316"	-0.082433240718398	-0.146605634955179	-0.0182608464816172	"0.0253330571529404"	"Disease"
"K01206"	-0.0955726424674352	-0.180217019001698	-0.0109282659331728	"0.0175355638392515"	"Disease"
"K01190"	-0.160001156314854	-0.29281829669893	-0.0271840159307774	"0.0106756372231422"	"Disease"
"K12373"	-0.165074135955896	-0.281728137522973	-0.0484201343888204	"0.0142313280216191"	"Disease"
"K03205"	-0.191469530450154	-0.302591061324507	-0.0803479995758003	"0.00114923256816823"	"Disease"
"K07165"	-0.337918740236959	-0.571797718065746	-0.104039762408172	"0.000999656225223891"	"Disease"
