"Species_ID"	"Phylum"	"Class"	"Order"	"Family"	"Genus"	"Species"
"255431"	"Uroviricota"	"Caudoviricetes"	"Caudovirales"	"Siphoviridae"	"Unclassified"	"Klebsiella phage phiKO2"
"259901"	"Uroviricota"	"Caudoviricetes"	"Caudovirales"	"Siphoviridae"	"Biseptimavirus"	"Staphylococcus virus 77"
"262071"	"Uroviricota"	"Caudoviricetes"	"Caudovirales"	"Myoviridae"	"Lubbockvirus"	"Clostridium virus phiC2"
"287412"	"Uroviricota"	"Caudoviricetes"	"Caudovirales"	"Siphoviridae"	"Skunavirus"	"Lactococcus virus Sl4"
"306323"	"Uroviricota"	"Caudoviricetes"	"Caudovirales"	"Siphoviridae"	"Brussowvirus"	"Streptococcus virus 2972"
"320122"	"Uroviricota"	"Caudoviricetes"	"Caudovirales"	"Myoviridae"	"Lubbockvirus"	"Clostridium virus phiCD119"
"320834"	"Uroviricota"	"Caudoviricetes"	"Caudovirales"	"Siphoviridae"	"Phietavirus"	"Staphylococcus virus 69"
"320835"	"Uroviricota"	"Caudoviricetes"	"Caudovirales"	"Siphoviridae"	"Phietavirus"	"Staphylococcus virus 53"
"320837"	"Uroviricota"	"Caudoviricetes"	"Caudovirales"	"Siphoviridae"	"Triavirus"	"Staphylococcus virus 42e"
"320839"	"Uroviricota"	"Caudoviricetes"	"Caudovirales"	"Siphoviridae"	"Triavirus"	"Staphylococcus virus 47"
"320841"	"Uroviricota"	"Caudoviricetes"	"Caudovirales"	"Siphoviridae"	"Phietavirus"	"Staphylococcus virus EW"
"320842"	"Uroviricota"	"Caudoviricetes"	"Caudovirales"	"Siphoviridae"	"Phietavirus"	"Staphylococcus virus 96"
"320843"	"Uroviricota"	"Caudoviricetes"	"Caudovirales"	"Siphoviridae"	"Phietavirus"	"Staphylococcus phage ROSA"
"320844"	"Uroviricota"	"Caudoviricetes"	"Caudovirales"	"Siphoviridae"	"Phietavirus"	"Staphylococcus virus 71"
"320845"	"Uroviricota"	"Caudoviricetes"	"Caudovirales"	"Siphoviridae"	"Phietavirus"	"Staphylococcus virus 55"
"320846"	"Uroviricota"	"Caudoviricetes"	"Caudovirales"	"Siphoviridae"	"Phietavirus"	"Staphylococcus virus 29"
"320847"	"Uroviricota"	"Caudoviricetes"	"Caudovirales"	"Siphoviridae"	"Phietavirus"	"Staphylococcus virus 52a"
"320848"	"Uroviricota"	"Caudoviricetes"	"Caudovirales"	"Siphoviridae"	"Phietavirus"	"Staphylococcus virus 88"
"320849"	"Uroviricota"	"Caudoviricetes"	"Caudovirales"	"Siphoviridae"	"Phietavirus"	"Staphylococcus virus 92"
"320850"	"Uroviricota"	"Caudoviricetes"	"Caudovirales"	"Siphoviridae"	"Phietavirus"	"Staphylococcus virus X2"
"326036"	"Uroviricota"	"Caudoviricetes"	"Caudovirales"	"Siphoviridae"	"Phietavirus"	"Staphylococcus virus phiETA2"
"326037"	"Uroviricota"	"Caudoviricetes"	"Caudovirales"	"Siphoviridae"	"Phietavirus"	"Staphylococcus virus phiETA3"
"329381"	"Uroviricota"	"Caudoviricetes"	"Caudovirales"	"Myoviridae"	"Unclassified"	"Escherichia virus RB16"
"338473"	"Uroviricota"	"Caudoviricetes"	"Caudovirales"	"Podoviridae"	"Unclassified"	"Actinomyces virus Av1"
"342409"	"Unclassified"	"Unclassified"	"Unclassified"	"Nimaviridae"	"Whispovirus"	"White spot syndrome virus"
"344022"	"Uroviricota"	"Caudoviricetes"	"Caudovirales"	"Autographiviridae"	"Vectrevirus"	"Escherichia virus K1E"
"347324"	"Uroviricota"	"Caudoviricetes"	"Caudovirales"	"Siphoviridae"	"Unclassified"	"Pseudomonas phage F10"
"348058"	"Uroviricota"	"Caudoviricetes"	"Caudovirales"	"Podoviridae"	"Lederbergvirus"	"Salmonella phage epsilon34"
"354260"	"Uroviricota"	"Caudoviricetes"	"Caudovirales"	"Siphoviridae"	"Unclassified"	"Lactococcus phage P335 sensu lato"
"360398"	"Uroviricota"	"Caudoviricetes"	"Caudovirales"	"Siphoviridae"	"Biseptimavirus"	"Staphylococcus virus 108PVL"
"363555"	"Uroviricota"	"Caudoviricetes"	"Caudovirales"	"Myoviridae"	"Unclassified"	"Lactobacillus phage KC5a"
"374840"	"Phixviricota"	"Malgrandaviricetes"	"Petitvirales"	"Microviridae"	"Sinsheimervirus"	"Enterobacteria phage phiX174 sensu lato"
"379329"	"Uroviricota"	"Caudoviricetes"	"Caudovirales"	"Podoviridae"	"Traversvirus"	"Stx2-converting phage 86"
"379501"	"Uroviricota"	"Caudoviricetes"	"Caudovirales"	"Siphoviridae"	"Phietavirus"	"Staphylococcus virus phiMR11"
"387905"	"Uroviricota"	"Caudoviricetes"	"Caudovirales"	"Siphoviridae"	"Phietavirus"	"Staphylococcus phage phiNM"
"387908"	"Uroviricota"	"Caudoviricetes"	"Caudovirales"	"Siphoviridae"	"Phietavirus"	"Staphylococcus virus phiNM2"
"387909"	"Uroviricota"	"Caudoviricetes"	"Caudovirales"	"Siphoviridae"	"Biseptimavirus"	"Staphylococcus phage phiNM3"
"387910"	"Uroviricota"	"Caudoviricetes"	"Caudovirales"	"Siphoviridae"	"Phietavirus"	"Staphylococcus virus phiNM4"
"389469"	"Uroviricota"	"Caudoviricetes"	"Caudovirales"	"Siphoviridae"	"Casadabanvirus"	"Pseudomonas virus DMS3"
"393598"	"Uroviricota"	"Caudoviricetes"	"Caudovirales"	"Myoviridae"	"Bielevirus"	"Aeromonas virus phiO18P"
"396359"	"Uroviricota"	"Caudoviricetes"	"Caudovirales"	"Siphoviridae"	"Unclassified"	"Clostridium phage phiSM101"
"397353"	"Uroviricota"	"Caudoviricetes"	"Caudovirales"	"Siphoviridae"	"Casadabanvirus"	"Pseudomonas virus MP22"
"398839"	"Uroviricota"	"Caudoviricetes"	"Caudovirales"	"Siphoviridae"	"Phietavirus"	"Staphylococcus virus CNPH82"
"399185"	"Uroviricota"	"Caudoviricetes"	"Caudovirales"	"Siphoviridae"	"Phietavirus"	"Staphylococcus virus PH15"
