"Disease1"	"Disease2"	"Disease3"	"Disease4"	"Disease5"	"Disease6"	"Disease7"	"Disease8"	"Disease9"	"Disease10"	"Disease11"	"Disease12"	"Disease13"	"Disease14"	"Disease15"	"Disease16"	"Disease17"	"Disease18"	"Disease19"	"Disease20"	"Disease21"	"Disease22"	"Disease23"	"Disease24"	"Disease25"	"Disease26"	"Disease27"	"Disease28"	"Disease29"	"Disease30"	"Disease31"	"Disease32"	"Disease33"	"Disease34"	"Control1"	"Control2"	"Control3"	"Control4"	"Control5"	"Control6"	"Control7"	"Control8"	"Control9"	"Control10"	"Control11"	"Control12"	"Control13"	"Control14"	"Control15"	"Control16"	"Control17"	"Control18"	"Control19"	"Control20"	"Control21"	"Control22"	"Control23"	"Control24"	"Control25"	"Control26"	"Control27"	"Control28"	"Control29"	"Control30"	"Control31"	"Control32"	"Control33"	"Control34"
"Disease11"	0.480830096056652	0.952295647040278	0.916396118963886	0.657287645395916	0.719735373315031	0.676645746055482	0.722872783009372	0.772292373128936	0.685771951770096	0.693261231998725	0	0.68726671621327	0.930856401598402	0.640422203570349	0.749790614080191	0.765105322708927	0.798090655054145	0.77162681799792	0.738442856755031	0.738202224569982	0.881535932261917	0.8105051133205	0.637411505259758	0.739085245990057	0.750750939130708	0.704060228819882	0.758284847320921	0.635091063303537	0.895846165008552	0.695434709724797	0.657856913879738	0.74810673798735	0.774380590382169	0.943353036554133	0.781331301137457	0.625660521108884	0.712251853961725	0.795123004953055	0.683291096650175	0.655974001709247	0.843743887322018	0.730080573517248	0.706729253779681	0.652704068624841	0.618117714033672	0.857671481811071	0.643538477380564	0.871099671886543	0.698650926905494	0.936714383212262	0.805223177315335	0.831504085604611	0.938943876641791	0.762843045522152	0.723737363040307	0.881115408634777	0.712932835414698	0.712772955935199	0.567427859429569	0.955342711567622	0.867320299289207	0.515530394380443	0.875263674258648	0.745903671558193	0.68559291728872	0.847646012754911	0.918488150166515	0.952474414695011
"Disease12"	0.62190427630978	0.985485139718645	0.868864207670143	0.525073439417923	0.626082268813593	0.534725733586859	0.683125646770328	0.518176585653192	0.593942826328678	0.664200260037451	0.68726671621327	0	0.953127442871206	0.761304322605773	0.691910237515242	0.498737911538274	0.752925209185501	0.643050231962901	0.56496757705854	0.652155867699884	0.88740519057559	0.761801157120895	0.679523461381643	0.705150234176719	0.640744857180185	0.487952560803271	0.684583174620733	0.646310369332053	0.924040025460194	0.528713294054235	0.492709304233422	0.663754707240032	0.548833524500048	0.975945619805104	0.576119087044121	0.531028964990529	0.748805919399372	0.660797320696807	0.463361276957251	0.729137405596281	0.72254949506355	0.586541301431702	0.668768266177191	0.563784424880749	0.688076205016993	0.775619354450102	0.71907257272554	0.758766886354724	0.624140307135425	0.75750771892508	0.581410412774894	0.471576940024688	0.903288070860483	0.53128719023843	0.600716701111668	0.886991564216238	0.699103318898785	0.624839965744431	0.587371996709622	0.994115401299206	0.730224323442434	0.685566979354646	0.916351415503556	0.765680820974354	0.596811112881501	0.74734688042802	0.945301418163046	0.545412736537036
"Disease13"	0.965308192375172	0.0824645773913412	0.958430327824021	0.948730423238069	0.965484023362403	0.957734165179677	0.949330830015639	0.947500502295436	0.944005816455875	0.955938112425533	0.930856401598402	0.953127442871206	0	0.75534270749392	0.972995789785788	0.94792564739727	0.807322914178884	0.887805426613321	0.962293320410379	0.956462084427905	0.458391096864772	0.459975635291343	0.947052470606729	0.403698972805033	0.963737896822432	0.962162141831692	0.653416095009997	0.965326346499884	0.0646337786158993	0.930438706449902	0.955416065572669	0.930167436618807	0.953529216151694	0.0740870480589238	0.968025008399975	0.964356599856247	0.970884410787352	0.969188103599749	0.943719452573502	0.968534324545755	0.97557150515327	0.962861286676206	0.9648062910582	0.956662643157072	0.967159714895135	0.966727230108237	0.962831994437806	0.979451444958369	0.952751931483728	0.97215019269527	0.553279976408462	0.960367481539308	0.979590844303774	0.965885662773902	0.960396907940686	0.0820128346967702	0.963042423021575	0.961836215476296	0.961158887593744	0.0855829824091542	0.957619438006788	0.962649212975789	0.971670193016975	0.965961050744958	0.966523735017139	0.963415483014707	0.0588038459196671	0.972464184494797
"Disease14"	0.772641433033247	0.778796072297735	0.924380318141278	0.631528621329222	0.588738840426925	0.756862601379286	0.791237111252997	0.73387336239439	0.68135200663995	0.767852396664546	0.640422203570349	0.761304322605773	0.75534270749392	0	0.613491676318903	0.732897712587595	0.553683896868785	0.811555207267371	0.709636716539492	0.791447805999429	0.719273761072485	0.618340199670409	0.866692576074423	0.627773310988962	0.781111188640263	0.677132707318152	0.637114177409038	0.709476706392474	0.742692330285314	0.724371011699108	0.569069513236715	0.911740023546145	0.76051490187397	0.770554310697747	0.561077959158046	0.785735970813785	0.882622407624706	0.556070318949595	0.741788172363001	0.811958592434742	0.800906284149022	0.676220089824954	0.586999003066508	0.701065296347394	0.805383609036319	0.851858691349746	0.74588824967157	0.639657937446592	0.565105839449869	0.951403797709756	0.700937429072223	0.579292913563141	0.984755599926578	0.596537646688532	0.733623034890351	0.724645977513357	0.663657793977705	0.685854698038031	0.65971512884229	0.784611778336208	0.843087483611812	0.778431814915109	0.923374033738624	0.7145574638177	0.793621227024216	0.736917936616101	0.756237045380857	0.955162909315119
"Disease15"	0.599913746013532	0.997220737622655	0.906311804847214	0.721809595991328	0.394574878621212	0.714897623319916	0.756048684230082	0.559744398971698	0.597720009228251	0.656099293391865	0.749790614080191	0.691910237515242	0.972995789785788	0.613491676318903	0	0.709238384673438	0.54174394308589	0.839604889612454	0.516360298734466	0.680998057244612	0.919743201481171	0.663377884715826	0.738214291960851	0.804738130312241	0.557084233127275	0.562554997746223	0.822686534676791	0.503972747441716	0.953871366676762	0.579445504459926	0.473430808413982	0.935670084073665	0.763844394105529	0.990192273618847	0.319025318304247	0.724633011491038	0.823522441967238	0.464606484469747	0.618563154330104	0.454070921227877	0.619152255427239	0.668400887820725	0.51928570192661	0.49736520326277	0.60182013018863	0.639130950509948	0.53595785906384	0.533825647532636	0.372010748893753	0.939857501723164	0.870139900269217	0.501452208226567	0.9426475858531	0.478437963877835	0.619950888521191	0.918844719016307	0.371562658756176	0.451979986191938	0.456743478526125	0.999105344044133	0.809284359561254	0.655177245508773	0.905096200085078	0.502164074098978	0.796371690208821	0.558166501097651	0.966003244995011	0.947728821399017
"Disease16"	0.688212890635939	0.983444854075406	0.847311031672151	0.668260525331722	0.65184633740615	0.641615039225249	0.631171664938353	0.535191518219648	0.531157178484086	0.572371147211992	0.765105322708927	0.498737911538274	0.94792564739727	0.732897712587595	0.709238384673438	0	0.675047366953718	0.456005689081775	0.527732090098874	0.614410070086014	0.885472482897285	0.717212711835929	0.634497323346445	0.619400457229557	0.619967637999651	0.648760032621238	0.71159635518509	0.587583539170776	0.929525659487859	0.362010448010832	0.506098141267031	0.553201444492401	0.386508141681166	0.974006711043173	0.66077425538364	0.358292498175737	0.821084128774124	0.68464662369125	0.673183972895145	0.601352540557548	0.753613142306112	0.558588605506449	0.565999102866703	0.511956387291691	0.794446673468617	0.72540622661492	0.609500732100512	0.728510221968968	0.604359132885163	0.714141644672308	0.591488796255856	0.453149487443026	0.917005139276875	0.608615970804041	0.568196874589298	0.889485797471772	0.564581907366127	0.600682588200694	0.59226387265546	0.992122720356588	0.736108249865665	0.649990764953461	0.920435487864561	0.62173050932441	0.749286904719323	0.590192611310846	0.946874826177015	0.606683222696127
"Disease17"	0.798586320833934	0.823004672908969	0.902628863124541	0.779305633850964	0.587739562659346	0.79558084300775	0.698773145963307	0.591698348289673	0.587413373157106	0.789781067516205	0.798090655054145	0.752925209185501	0.807322914178884	0.553683896868785	0.54174394308589	0.675047366953718	0	0.713602896434079	0.485937762942351	0.599687428469237	0.731643773509961	0.390254036661439	0.834586204543971	0.645253671754179	0.502514777212258	0.628045116367604	0.66973990924883	0.718602136873953	0.789358440771573	0.584340991265422	0.613879203225908	0.894755941524278	0.730274126334416	0.816225482656549	0.601189836504609	0.800373497285035	0.7972327667912	0.600969798182274	0.691774922072054	0.64931350545911	0.399201860621394	0.702864841995236	0.676080990239441	0.550840115142612	0.843522792376676	0.345411247116189	0.72475682363036	0.747109790280725	0.495721367804282	0.932045312557746	0.707839456586854	0.687231268176016	0.938344219704941	0.627406579173252	0.655773664101169	0.753135575314054	0.638873464937674	0.453492299977804	0.509980033047041	0.831223028238552	0.822238610302186	0.817290571586474	0.931154523722597	0.700572255368384	0.820851331036284	0.507398648496668	0.804968986336264	0.934538922270221
"Disease18"	0.83568477967674	0.909562723503064	0.901214608705463	0.799674125342506	0.80731508979321	0.853207446771518	0.753971409207681	0.756706698085116	0.785789197207634	0.826759703537522	0.77162681799792	0.643050231962901	0.887805426613321	0.811555207267371	0.839604889612454	0.456005689081775	0.713602896434079	0	0.80103843425939	0.776004129551756	0.638725102418164	0.735688783963296	0.815972088671589	0.721935928177877	0.806928070724942	0.811982184086473	0.682198152237817	0.82921539954613	0.873975895942222	0.618693182281536	0.773570824066919	0.489998656809429	0.457882869698379	0.90412976652965	0.816607068765943	0.539110053529853	0.880210797037127	0.845845705948051	0.806189225607565	0.803567946372717	0.837733837808934	0.841307363449528	0.826484603881947	0.781477624560539	0.887151474376741	0.818756499866015	0.830798475202397	0.863512780504052	0.802302976525723	0.735251934198355	0.62356750959118	0.606767862677528	0.932773413992715	0.818828118303596	0.783878871932638	0.840259644548308	0.823635910347815	0.804889254308708	0.786094556935616	0.918217915923504	0.777693403905379	0.855337034506188	0.942048425682207	0.854216257127282	0.858173870026728	0.816592569678593	0.881478583021886	0.596563131280158
"Disease19"	0.651525870337797	0.994337456958916	0.878468182703309	0.646626320749074	0.501915797822159	0.398538355969255	0.640467859171424	0.411916302302063	0.390481986014156	0.472481470058107	0.738442856755031	0.56496757705854	0.962293320410379	0.709636716539492	0.516360298734466	0.527732090098874	0.485937762942351	0.80103843425939	0	0.505340747430911	0.901894974579041	0.521161205163601	0.608915330121444	0.649679890481571	0.31816328705023	0.447410569013286	0.698115655485564	0.360304671538878	0.935811309071558	0.42915818975315	0.384843683575038	0.888156054817606	0.703855566893375	0.986204846739174	0.489760182852302	0.586871704351602	0.691028411806038	0.557455616214219	0.469263935400758	0.362485869298023	0.473061485453479	0.307598538054162	0.4119373221438	0.226620473078811	0.698687931269796	0.503035720409968	0.408755470364581	0.684889639063773	0.359601538159567	0.936422132216712	0.782880279473957	0.636250032038895	0.88937324934793	0.457939485596764	0.380090024303525	0.888679693166377	0.362094888060563	0.291647710577743	0.347459681774008	0.996678510015248	0.746729264359954	0.523725339699174	0.909545681859676	0.434107120991813	0.656701940646081	0.299377939554351	0.949946365658635	0.940964193807788
"Disease20"	0.60714256248125	0.985263196282434	0.871151453472233	0.774451419298408	0.566970566340105	0.680567799510978	0.607738301124227	0.527823840613774	0.51291226891204	0.709543852849805	0.738202224569982	0.652155867699884	0.956462084427905	0.791447805999429	0.680998057244612	0.614410070086014	0.599687428469237	0.776004129551756	0.505340747430911	0	0.897689356545254	0.633084278336011	0.720151995025007	0.762889568930601	0.495255262150251	0.575802000968072	0.762813263971321	0.641175464016167	0.930489421656093	0.558667569879448	0.628895480509709	0.827294123025214	0.755603967399519	0.978492913777566	0.664944574692978	0.693945897407743	0.637298145893365	0.719602986528959	0.5094005972631	0.592745356313425	0.614199330607944	0.669069613205381	0.593608886047883	0.45479008027913	0.802568777689646	0.62914439919551	0.727745534209637	0.753486036373612	0.555492062028698	0.932608830911381	0.817817681388205	0.755003744396459	0.841314093361648	0.502578996048077	0.45487652136846	0.892532524755076	0.69911189420046	0.449686278182615	0.508610045954767	0.993619276266308	0.816644992548628	0.715577104765297	0.941971825427858	0.784968039575105	0.677610808824414	0.66457448190247	0.951978093552033	0.926449601605416
