"Disease1"	"Disease2"	"Disease3"	"Disease4"	"Disease5"	"Disease6"	"Disease7"	"Disease8"	"Disease9"	"Disease10"	"Disease11"	"Disease12"	"Disease13"	"Disease14"	"Disease15"	"Disease16"	"Disease17"	"Disease18"	"Disease19"	"Disease20"	"Disease21"	"Disease22"	"Disease23"	"Disease24"	"Disease25"	"Disease26"	"Disease27"	"Disease28"	"Disease29"	"Disease30"	"Disease31"	"Disease32"	"Disease33"	"Disease34"	"Control1"	"Control2"	"Control3"	"Control4"	"Control5"	"Control6"	"Control7"	"Control8"	"Control9"	"Control10"	"Control11"	"Control12"	"Control13"	"Control14"	"Control15"	"Control16"	"Control17"	"Control18"	"Control19"	"Control20"	"Control21"	"Control22"	"Control23"	"Control24"	"Control25"	"Control26"	"Control27"	"Control28"	"Control29"	"Control30"	"Control31"	"Control32"	"Control33"	"Control34"
"Disease11"	0.177939838120036	0.134254807061564	0.150143993824463	0.108686580855096	0.176112663247374	0.132424194712449	0.419881786082649	0.114388316472708	0.114681166018604	0.117259968158294	0	0.135410557899172	0.14356111847128	0.112819372740657	0.152882169534264	0.162539213290654	0.159035665023115	0.146896110732771	0.167221375118688	0.13258158850896	0.116356295760831	0.141440818655735	0.18323223435941	0.157709117800122	0.176659451782743	0.172350946964287	0.14133025819173	0.139156603374347	0.112869506575742	0.136846062838792	0.163273691204083	0.131234116937612	0.164847564571272	0.136534274778824	0.190843522864641	0.151982058761212	0.132830769575768	0.161871262771837	0.156315548972659	0.162768974180251	0.147462410040573	0.184890833090723	0.147502437855322	0.156834578726812	0.199388225918752	0.162207769258781	0.15804976143036	0.19340606553312	0.172428155392876	0.168772856078807	0.133140270013832	0.130451244274354	0.137059899229368	0.172036129613709	0.173277506294202	0.220759726624664	0.200646643952438	0.148746537278921	0.169976254417877	0.159023127352241	0.164777071725919	0.179981841287308	0.16156236781045	0.133423399447456	0.148377338766582	0.176243044369147	0.136144403064395	0.176934905096991
"Disease12"	0.208994223748289	0.184878351258247	0.179810335606697	0.154506978428635	0.21038503219472	0.17861898000555	0.445165798171617	0.13463857192216	0.171346913951197	0.159272643231679	0.135410557899172	0	0.184648782866846	0.148569538367664	0.164439142491553	0.162504952338256	0.202914414786799	0.16998620211622	0.213055687034774	0.163166397319821	0.16317322344468	0.170319118673716	0.202661489600919	0.172317991179406	0.218726671669258	0.191274889339389	0.163696054247305	0.154969767419723	0.159988024443723	0.19399822324104	0.156366159864677	0.150105991121837	0.208071163244498	0.162972882623865	0.179400857492246	0.167368245738385	0.15346211956639	0.192897065362209	0.17328249011581	0.200338704957654	0.18508836344532	0.203143591066742	0.172524504130889	0.17186230142661	0.221040669785323	0.204524804679621	0.158834862943145	0.196489282201791	0.188717372080119	0.194978215323774	0.178144502320749	0.176351777309776	0.147492683185672	0.174169275631228	0.182001680450955	0.201963195688335	0.222433540231432	0.177527072447202	0.200187773274253	0.186922533351659	0.206522153903995	0.201632284785584	0.170233463807664	0.181703376852187	0.170950185044354	0.198413739833018	0.178901076459425	0.182271403930282
"Disease13"	0.133993609682543	0.154826286961056	0.12671243899281	0.161472007257937	0.167538636558801	0.110959754475773	0.374555488093477	0.142394717447082	0.124420352561335	0.168075172544569	0.14356111847128	0.184648782866846	0	0.14613906134666	0.147846446933956	0.210031905028531	0.125013395808854	0.148549906257376	0.19125234579987	0.152805075086602	0.167892208812921	0.186954776726686	0.251569962135437	0.224650347614174	0.160161535226164	0.181582652443219	0.174008085391526	0.183607786137602	0.144188668218496	0.160738615868101	0.150341863971198	0.184577743009269	0.175102390417684	0.169757751514817	0.246465058034567	0.212198040268094	0.184422902739752	0.154505337142852	0.184739569067594	0.152567203677254	0.154819265838305	0.210886559039549	0.152814815664673	0.209170854467085	0.17716418599214	0.158500456219627	0.189973325684084	0.230176411168752	0.195046891109124	0.187573985652541	0.151763126186824	0.156971089832875	0.210142013664216	0.202295784919852	0.231816798620281	0.244243487599777	0.207627759987333	0.14275982631637	0.192308678563959	0.166767685197411	0.14631191181623	0.198184784108837	0.218227265029121	0.160922607893062	0.17540952240329	0.176169722318107	0.143803404475232	0.159749559409662
"Disease14"	0.172938980266137	0.164611902549609	0.154654273805144	0.150099506548264	0.177103011104702	0.126674754104263	0.394165039500019	0.151044405733362	0.136135809965449	0.146335762919756	0.112819372740657	0.148569538367664	0.14613906134666	0	0.135258404785715	0.166002181347753	0.156878347771126	0.161298006490168	0.162034303238949	0.125082084197328	0.151190636848188	0.145714357356844	0.207481601300318	0.147218134107843	0.187538350455555	0.164896403052728	0.147081721323931	0.14327629862239	0.120226165404485	0.17090184463128	0.149513536466121	0.137581637454912	0.175769430838232	0.149627781661203	0.195602067212202	0.13686352820255	0.131497286384257	0.161443552884263	0.149139994636685	0.156835688456643	0.141354991156279	0.168396403814065	0.174720837397003	0.179506694009825	0.164376202300766	0.162215146875319	0.173634078857679	0.205850609179486	0.167292718110431	0.184389498705321	0.147087184052998	0.157067949099475	0.157181682588516	0.174774468838286	0.177310218978152	0.19945431618069	0.186133798358033	0.140311041804654	0.158645800534792	0.146670594636486	0.174692994063711	0.195680115272415	0.16352126400041	0.176246377265875	0.163335580816548	0.176606945583003	0.169742310586178	0.175492919127678
"Disease15"	0.174138282903015	0.189454308096536	0.152828690125778	0.157390516871538	0.200881859704382	0.143161857244315	0.340116025328659	0.162329328367599	0.135297666685379	0.161511549300544	0.152882169534264	0.164439142491553	0.147846446933956	0.135258404785715	0	0.199819166919	0.157803279355636	0.134982540512115	0.1597156836529	0.131685475400395	0.185223337849372	0.167869022422782	0.226028702225765	0.194071480492717	0.199026126277052	0.192365179265648	0.174665887137006	0.157628020957329	0.153409437724048	0.170668815612443	0.172472283964711	0.186536141787907	0.176277132283825	0.170346056448497	0.218525881181566	0.178085727614049	0.169474012990887	0.198515403696815	0.165344947947355	0.16753224041652	0.136360120171222	0.206456613016384	0.181999847911336	0.211844720441759	0.189574858026537	0.174102604687604	0.200741902214626	0.227682189760395	0.185684335385208	0.192059891182166	0.169607012918237	0.155513434798669	0.174933384676848	0.199052882053552	0.22016205454624	0.220068584786547	0.228574800554628	0.159127338195115	0.190292793310249	0.188196576277487	0.17004569054712	0.213222613354122	0.206734764809835	0.171754685307793	0.166586072790689	0.207943827055106	0.163516736923748	0.19923963351036
"Disease16"	0.208241474381882	0.173159723207043	0.203489963562702	0.177441481767792	0.203637718381785	0.188203091271403	0.434178807093248	0.181892000009916	0.196320283398368	0.198689296300906	0.162539213290654	0.162504952338256	0.210031905028531	0.166002181347753	0.199819166919	0	0.219651965906553	0.173843287663045	0.200534833146461	0.181989215912605	0.136708023549594	0.197654234523413	0.178626235149039	0.165903913522933	0.208139711024852	0.221659901478856	0.166977849367637	0.153677558900059	0.154519278966563	0.204588134551891	0.212087224705984	0.162686554202747	0.20256137860476	0.200708458368807	0.213922517398818	0.189216159856518	0.184423596623877	0.208284094791222	0.185867260664814	0.221151530601677	0.187317911489474	0.215101787842453	0.169850294940758	0.197003456013227	0.209237392713046	0.198097417124326	0.195337581594898	0.20518677980898	0.250243507256248	0.197450249845299	0.184433363182855	0.168281049750302	0.168291840129212	0.179304995366491	0.177088754762013	0.232300597740893	0.208629610441114	0.177465753328824	0.204209304786894	0.181673879217828	0.215966607445793	0.212679970337141	0.148745394129549	0.160822630400368	0.16986799518554	0.224654812773237	0.198619717275921	0.215619064665685
"Disease17"	0.162602034957623	0.182883383850288	0.162177773201597	0.140577523251865	0.151789122498992	0.11713032106851	0.389230028391385	0.147884946791666	0.178529629884744	0.209036069683278	0.159035665023115	0.202914414786799	0.125013395808854	0.156878347771126	0.157803279355636	0.219651965906553	0	0.167052882768914	0.207170793070512	0.175716429857962	0.183248606164463	0.176456803089564	0.24396118431428	0.211049176349091	0.147043463901479	0.177307947632307	0.16162074299017	0.19379606363555	0.164783398665825	0.188586281741892	0.182284487120312	0.187098795436269	0.174777563499361	0.215556037786278	0.23996735159892	0.206061695715002	0.165324164558617	0.153236727499285	0.194195331114073	0.129241140517075	0.175674887053935	0.187811563452782	0.15617566078844	0.227668982650784	0.18251181118613	0.158972148115623	0.181589476663672	0.217226285458976	0.205689798860636	0.177656448235522	0.181115137968526	0.169652496068594	0.206608090009436	0.201560296471129	0.222477107170563	0.244618373700124	0.187302641525094	0.151517879219237	0.164955493011127	0.157521373880351	0.172603118932391	0.174470766374896	0.209805731881188	0.186332476450335	0.185484217400162	0.163306142338746	0.120824736427151	0.145643080459587
"Disease18"	0.166371316353101	0.157939652892352	0.166420485483707	0.176189375784484	0.20249105374426	0.158393846125076	0.37427386402403	0.180107367691433	0.130764230613919	0.166768471438247	0.146896110732771	0.16998620211622	0.148549906257376	0.161298006490168	0.134982540512115	0.173843287663045	0.167052882768914	0	0.160192249592294	0.141916574974206	0.164008910104749	0.179702377852561	0.213923317538223	0.196349488200544	0.168877606495337	0.172919194626673	0.173950683343508	0.147081241815713	0.155946247161923	0.170507671545402	0.20789899894076	0.193626566473097	0.153850292216376	0.173393738033059	0.219556934949476	0.189237513927891	0.172461972460534	0.191257854968618	0.152690453355401	0.195186063212843	0.147062443662924	0.183033978495462	0.157878249053577	0.211172846744683	0.205474274462817	0.170458213155131	0.178491990064174	0.196407833158704	0.195530566688303	0.165109926284497	0.158806853474032	0.130356967791065	0.185201157025472	0.19631516641387	0.22722784324054	0.239626314311163	0.196745335807273	0.154682189579834	0.182514145965842	0.179177044297147	0.198008498258465	0.192823011729781	0.185569511489822	0.151962720806957	0.160143265776697	0.187847098367301	0.153751283524358	0.190153295657007
"Disease19"	0.200830268985576	0.182394347983943	0.173038055425466	0.199320909953537	0.242240280104428	0.168128641320034	0.374740044117509	0.204201807182935	0.136714062322716	0.184140128329138	0.167221375118688	0.213055687034774	0.19125234579987	0.162034303238949	0.1597156836529	0.200534833146461	0.207170793070512	0.160192249592294	0	0.119141889497182	0.182102745279867	0.153068958410468	0.207161194627027	0.205564839113009	0.19472221371222	0.150959886308356	0.212033306253416	0.118087864409669	0.161235629123328	0.141552221615877	0.213492917543084	0.211694984284137	0.16691830480237	0.177300399017094	0.203236243695183	0.191519545711825	0.202314312032592	0.235486763843584	0.0990230344945054	0.208105085155126	0.12375001479634	0.208034437960381	0.182542185974547	0.226874465143971	0.184484245678311	0.16866415971793	0.189963620350796	0.224766995305871	0.180721982805214	0.188069552780289	0.17602349608518	0.13428308968885	0.205116352805331	0.207151612706315	0.238827702007607	0.242959736925527	0.227818494388438	0.162853695060663	0.186930816819954	0.193933206364334	0.185400478968762	0.217750846084704	0.211705133947909	0.173264879844281	0.175629343800894	0.210470554681549	0.194617930941972	0.204280873851579
"Disease20"	0.167760789277367	0.142322656682587	0.146053792193147	0.165339666758691	0.186781765029144	0.13477881680093	0.378337244770967	0.154049037193542	0.120806229703275	0.144349182688494	0.13258158850896	0.163166397319821	0.152805075086602	0.125082084197328	0.131685475400395	0.181989215912605	0.175716429857962	0.141916574974206	0.119141889497182	0	0.151725456459091	0.147005203095709	0.200852340013651	0.168724050829509	0.18086341968705	0.154130404501956	0.165589973632463	0.126929940905648	0.114826109660427	0.111012514638904	0.169808670588588	0.177872649084031	0.145552685254051	0.137719865125483	0.208483813037557	0.14555083470083	0.169319849674582	0.189239949580473	0.144844084489166	0.182813692597352	0.117825215057265	0.174823539284915	0.150022476499251	0.192050047465298	0.179282839838738	0.132529587579095	0.168965654167487	0.196825332032853	0.184543747312682	0.189664387605921	0.128795698138253	0.111663392432722	0.155101783359565	0.171053307982096	0.201754062904069	0.220596177079491	0.200874382499844	0.135351877823944	0.156675077771538	0.161730665522606	0.141845995813649	0.190451475611562	0.175644692161412	0.140032058104366	0.150033270025374	0.190336230639742	0.161925438742042	0.182171514779999
