"ID"	"Observed_species"	"Chao1"	"ACE"	"Shannon"	"Simpson"	"Pielou_J"	"Good_coverage"
"Control22"	90	95.6	97.8948858768679	0.729267014249428	0.212991544244543	0.162066191167571	0.999978874596967
"Control23"	100	111.375	108.558796182829	2.63096003873065	0.902294349954195	0.571305713464344	0.99987466427932
"Control24"	89	96.3333333333333	100.495274102079	2.91731334952878	0.928040892166327	0.649933099771874	0.999939262648553
"Control25"	102	108	106.818295795692	3.22468669307627	0.944273740191374	0.697233653744738	0.999910044977511
"Control26"	61	76	71.0519512801392	0.0143584880401202	0.00283112826504839	0.00349280676433688	0.999979546337772
"Control27"	96	96	96.196261682243	3.44030565566532	0.940539582093291	0.753734270776342	0.999879066392551
"Control28"	148	148	148	3.43534148486472	0.938191996159394	0.68745158233534	1
"Control29"	97	98	97.4623489917255	3.17645701602123	0.936056876025397	0.694351409509242	0.999981052531855
"Control30"	85	101.5	96.7268257834708	2.46322099034788	0.893063497707017	0.554448424631426	0.999942666577481
"Control31"	84	114.333333333333	99.3859810223447	3.26443236800265	0.939982046084385	0.736756340017227	0.998964726761813
