"Disease1"	"Disease2"	"Disease3"	"Disease4"	"Disease5"	"Disease6"	"Disease7"	"Disease8"	"Disease9"	"Disease10"	"Disease11"	"Disease12"	"Disease13"	"Disease14"	"Disease15"	"Disease16"	"Disease17"	"Disease18"	"Disease19"	"Disease20"	"Disease21"	"Disease22"	"Disease23"	"Disease24"	"Disease25"	"Disease26"	"Disease27"	"Disease28"	"Disease29"	"Disease30"	"Disease31"	"Disease32"	"Disease33"	"Disease34"	"Control1"	"Control2"	"Control3"	"Control4"	"Control5"	"Control6"	"Control7"	"Control8"	"Control9"	"Control10"	"Control11"	"Control12"	"Control13"	"Control14"	"Control15"	"Control16"	"Control17"	"Control18"	"Control19"	"Control20"	"Control21"	"Control22"	"Control23"	"Control24"	"Control25"	"Control26"	"Control27"	"Control28"	"Control29"	"Control30"	"Control31"	"Control32"	"Control33"	"Control34"
"Disease11"	0.211411569990376	0.241925307827931	0.24772416139088	0.192336055333063	0.231466321131685	0.22341430677488	0.298587627041725	0.184404764677597	0.187083662142999	0.197595821471961	0	0.302513234508272	0.169916478710587	0.204788739599444	0.208551860515657	0.218752635632875	0.259274673852792	0.219232161167192	0.223583058675192	0.198758027804748	0.220575178609796	0.155335902754929	0.203586007577297	0.323377472599652	0.343468935037155	0.197062107970003	0.181646960913512	0.196447626952147	0.198817260373125	0.201691331920348	0.217357212982399	0.218454664045483	0.22669325255258	0.193272914517077	0.468449402862495	0.190456267055887	0.261013975321842	0.169908957359799	0.315731536640352	0.153904065405681	0.224023848583421	0.321085288021446	0.171906657808231	0.207697263760942	0.170051396656159	0.385136005421794	0.239551584787417	0.221834037147452	0.238569893615028	0.259369800975647	0.194623145364315	0.23036595192051	0.414541829868698	0.229090098967844	0.190076350585243	0.156594518505537	0.241633266839686	0.278117150660801	0.204708370217329	0.200365785074117	0.282538948240101	0.214699690663542	0.220195422322839	0.257948808398877	0.182845012144864	0.207410315952682	0.226473482934975	0.29180209918651
"Disease12"	0.147249590495948	0.151846116439197	0.261590644156052	0.270710393812112	0.205602157654375	0.191663090155556	0.363941805353925	0.220814903877543	0.336084813326224	0.246684029785085	0.302513234508272	0	0.322817524388202	0.175809070378341	0.357468570454783	0.214925381320569	0.28495643374813	0.157551693851194	0.309362866546762	0.253258039318107	0.293662889432034	0.229962225520236	0.286561935266064	0.238478822137584	0.476768868682248	0.3709986766334	0.325205623709102	0.329665485062979	0.245324719538712	0.186400558704333	0.325832953494891	0.277709087802866	0.146745864653356	0.240403655801572	0.589120811592038	0.278765713415221	0.323538708122522	0.275659411759404	0.415560509302152	0.286022803450105	0.3337755726984	0.170342117933055	0.339283881885803	0.260931571227647	0.258278877488947	0.503997921675924	0.352344398533632	0.235976778732788	0.212217980432935	0.140498117965907	0.263894583826478	0.319600988880628	0.517871922536913	0.244997263706005	0.210834137524695	0.291105482739198	0.299110319447887	0.342995621859519	0.233705920909792	0.228030743375861	0.186802514538808	0.235940781378427	0.286706579097041	0.313000311976853	0.283391903359658	0.298857672644907	0.157225299644395	0.266620265196984
"Disease13"	0.219757277862036	0.25944256772077	0.23625981207915	0.179648851941528	0.241854838852711	0.24731902591758	0.288318324117868	0.16568062606437	0.160315611914152	0.161172410078796	0.169916478710587	0.322817524388202	0	0.224678777169132	0.188235457540475	0.230858935852701	0.240407762457257	0.226145836066461	0.175034041255696	0.159849573873039	0.198085325279538	0.160773521272039	0.158563627121335	0.342067297261388	0.323636131582874	0.154741673311194	0.089752638994308	0.177731497175438	0.202355040517257	0.207849472251316	0.143070849087629	0.177734676528179	0.233836755527127	0.174682964903547	0.455980326967207	0.162083367340305	0.264227496143855	0.156707175276512	0.297751861046403	0.113010220493478	0.218984342852094	0.338588304345544	0.120734815799699	0.19847460408754	0.146828522154468	0.379210185170784	0.242258856533069	0.232373338464367	0.249074091211026	0.28439372194014	0.165046709264541	0.165424098703903	0.377934669740265	0.240640346418655	0.205822443541027	0.104876069264409	0.231494935599798	0.285099098869659	0.208047971869943	0.189440688399729	0.311303846904285	0.211703897368591	0.223314525839535	0.27563293926133	0.134441898221274	0.21328149171632	0.235819352148418	0.306536594554165
"Disease14"	0.109812901208285	0.134778380207992	0.230413600302045	0.166876831724846	0.128706007536896	0.139076480601227	0.272534045700592	0.130324985550492	0.249204725937916	0.137628988228262	0.204788739599444	0.175809070378341	0.224678777169132	0	0.271525240350582	0.13597778422183	0.194681952150554	0.0937026220618851	0.223960251061748	0.155894506104067	0.182035841471337	0.125803739061583	0.186673003714418	0.21839460588871	0.420793163693197	0.281530055484067	0.21902044807343	0.254433610361044	0.128533307441867	0.135499365101125	0.225956626566707	0.189048618072281	0.109004724992502	0.147778016300494	0.530271630560607	0.195661400789437	0.282647255023338	0.150724189066609	0.371242530614391	0.187121767883329	0.24600274855167	0.218380565599523	0.240517406086654	0.207948465586043	0.163535759836202	0.449950493637899	0.283178214773039	0.187488242729892	0.193936600658757	0.139118791822537	0.153537201440049	0.227539556077513	0.476329011250842	0.218092793367483	0.113696448236996	0.192853041370382	0.265361299387739	0.301116901487813	0.173823094912605	0.146260406691967	0.152252395073515	0.140594299955888	0.194447517420735	0.276378905670208	0.188115086300858	0.219351373846513	0.114442760883433	0.204347890734932
"Disease15"	0.268947158860537	0.298509688193426	0.23890836750641	0.251870435600095	0.300509116568508	0.265482461390587	0.36528370570656	0.243500082745832	0.0964020531351471	0.27138116529672	0.208551860515657	0.357468570454783	0.188235457540475	0.271525240350582	0	0.296700553888468	0.328573388370794	0.287149651833393	0.268371645266843	0.263153920481554	0.300245003986163	0.213973971696699	0.273844117118616	0.385287978177093	0.24786150059881	0.0965814675862441	0.219068587047169	0.0902095798799465	0.275340860183171	0.251856712927112	0.263390796167445	0.285285294749803	0.284930000703549	0.261027880219115	0.331252719608257	0.208247096921459	0.160969042656471	0.228206376263821	0.23042917486526	0.152367598320773	0.235949723100462	0.361860345899633	0.13780963443333	0.178843035512943	0.222205225818703	0.258092850562902	0.118786260783569	0.20593253004078	0.222370963098853	0.323395590177171	0.277611582494677	0.284724411319206	0.330602536681299	0.231988469432731	0.246497899278243	0.176939721669573	0.169108224631176	0.162270702603661	0.20854945063431	0.259270331629397	0.34896109053053	0.288230117683194	0.287266743773077	0.17919629924246	0.234264116356083	0.147863842307791	0.294903948338453	0.366295655013644
"Disease16"	0.150525310907724	0.167019757357656	0.26351887614166	0.143861057193017	0.132653164960651	0.15955375114635	0.226866082331303	0.150006612276049	0.274459994855475	0.149885346306027	0.218752635632875	0.214925381320569	0.230858935852701	0.13597778422183	0.296700553888468	0	0.189603652653157	0.125106511088971	0.224846428162658	0.152854027967343	0.157933372448544	0.148274653166835	0.196197855803713	0.189170864083413	0.436481640261871	0.296309124587196	0.231809649138392	0.271308848764827	0.110884038209836	0.170158365090055	0.236330156834296	0.200909455636445	0.148463617306091	0.12611559555887	0.555148912144754	0.213856866746493	0.315763506200713	0.156951769539645	0.388502504347636	0.215643726364797	0.245790540735232	0.251521432213697	0.252525031794423	0.246458825772382	0.168626973825506	0.47198498151151	0.316543969473558	0.234514120584809	0.248978593319319	0.163500290177029	0.14904478340873	0.230942651086701	0.48840652070123	0.249953537085533	0.131493276632389	0.20703864962927	0.297748078693762	0.335793020989205	0.22353699251718	0.153735974584133	0.152814021267682	0.153869736588336	0.187506417658108	0.302963983328236	0.186117622437494	0.24237797674938	0.144247344417988	0.146240138834489
"Disease17"	0.221331896031999	0.25232652846264	0.333806886338327	0.234819682031875	0.147239142629123	0.2502180372517	0.235926521973493	0.199340870224541	0.324799993450009	0.155255968186689	0.259274673852792	0.28495643374813	0.240407762457257	0.194681952150554	0.328573388370794	0.189603652653157	0	0.195147189745468	0.204604302166689	0.135553233385368	0.175821468576787	0.193563769729536	0.158489788022119	0.285427802545701	0.477741133687688	0.329249268078537	0.21977433114288	0.32640659874775	0.183466534075546	0.252721358130873	0.203996311036647	0.16086774026975	0.185752842622178	0.162580190269907	0.582175535121597	0.270909101325557	0.375155472350841	0.159989508693061	0.447200537586415	0.236639389296852	0.293454605015719	0.32314744476236	0.260642835060773	0.320754191030605	0.206541886795812	0.507924490292591	0.366852043699216	0.311461422433207	0.324041158195227	0.251235078279409	0.149270351143557	0.193825357391753	0.529557733054889	0.333808710315569	0.213300542242826	0.216800107699039	0.372463146172922	0.405554579152915	0.284777972724389	0.196134703990588	0.243131460053339	0.106734239035634	0.221046639519951	0.375521670402854	0.208525743600931	0.294574118851168	0.203045620582704	0.239080270961216
"Disease18"	0.0870462632424735	0.114976209522394	0.243134962221197	0.181455525304708	0.128182241037364	0.148912702141295	0.279890242903179	0.124492398129842	0.262020232544988	0.135142654297876	0.219232161167192	0.157551693851194	0.226145836066461	0.0937026220618851	0.287149651833393	0.125106511088971	0.195147189745468	0	0.223379591382135	0.155643773081734	0.182567699788773	0.137300922402423	0.190287604250004	0.202080180813045	0.443892858136651	0.296137991598675	0.227112346402991	0.264185006523297	0.149325102382025	0.128790224722775	0.228319239112931	0.184227320567363	0.0860639993831737	0.137806626132314	0.560807320324898	0.214556025869867	0.305480599338404	0.172391134246608	0.386132008780676	0.201882960464846	0.261370527406261	0.206888656887552	0.253577426198776	0.219636660429827	0.166618649023855	0.47603913542207	0.3056144496468	0.204286659124648	0.209181808150657	0.123556758862276	0.155410957581022	0.221169787328159	0.493039309461287	0.221419758900587	0.131104070575165	0.199947718312422	0.279464226324219	0.31742096854957	0.187836601053172	0.13443685459913	0.142442775389082	0.147836851454734	0.2072004162649	0.291872655321871	0.183852479024884	0.244969951431388	0.107875269924255	0.201211705980064
"Disease19"	0.220475335993576	0.25704026113421	0.318459932351266	0.235383205185405	0.230855500176452	0.282646333476535	0.275982469028913	0.186049212943274	0.272170782720964	0.14933368144279	0.223583058675192	0.309362866546762	0.175034041255696	0.223960251061748	0.268371645266843	0.224846428162658	0.204604302166689	0.223379591382135	0	0.151715152741919	0.178793716347899	0.187862963888446	0.109514251777843	0.333700167167093	0.450637115903395	0.261205326613776	0.134783605015071	0.279687881473531	0.200374991702032	0.237265842347727	0.0972149000959457	0.116605889267241	0.222553456177213	0.168928350475854	0.554719752891884	0.239949362026179	0.358419386020377	0.195144809233007	0.410521695934606	0.178624396564743	0.279767268796379	0.326971329806537	0.170665298875962	0.303277188477008	0.145505688343517	0.485670471809563	0.317689408584766	0.293016928432325	0.320510784518109	0.278572430515481	0.14647428132674	0.120791901782228	0.50090135606028	0.307508018161955	0.235296776152318	0.141864206685089	0.344662456998571	0.369834112493667	0.259738618929527	0.17725720931025	0.299744407837899	0.18518561583915	0.223658697807136	0.350036685761345	0.163573653545209	0.29622314889112	0.24616148939485	0.291016576218383
"Disease20"	0.165041678257213	0.203497215562841	0.287282259310786	0.18323783557115	0.147599654781785	0.22102614483283	0.237460600995895	0.136108124414066	0.252226748457661	0.103353083370497	0.198758027804748	0.253258039318107	0.159849573873039	0.155894506104067	0.263153920481554	0.152854027967343	0.135553233385368	0.155643773081734	0.151715152741919	0	0.141439302288987	0.137119794779392	0.117612047133107	0.268386794672527	0.428382331148059	0.258766795866669	0.14645313195094	0.254569680445992	0.146810720647712	0.187394053671109	0.148701536286282	0.127844611467001	0.156663491222336	0.106819081633512	0.540993537551542	0.207830375700419	0.322779704064557	0.130123608161695	0.392444207681912	0.162611578255251	0.244613500243011	0.283892592094834	0.195686273865826	0.261186657341065	0.133790279341878	0.46234141744869	0.308097608334019	0.258473370434251	0.27352137143207	0.21780362290039	0.102202906822584	0.147833199172644	0.48410892502496	0.273012812653736	0.167922368717313	0.142774554900013	0.309785697851888	0.347486336837657	0.23120672396601	0.141228948981187	0.227050596181074	0.117385709154938	0.178044104598291	0.326008903557366	0.136842176293855	0.248690462549874	0.174382706121869	0.223526535887446
