"ID"	"Observed_species"	"Chao1"	"ACE"	"Shannon"	"Simpson"	"Pielou_J"	"Good_coverage"
"Control1"	814	974.875	970.665134822403	3.28058597673396	0.943605868233103	0.489496475296332	0.999813794227104
"Control2"	1411	1596.0625	1592.03337854389	4.87800433786978	0.979154305315376	0.6726376238036	0.999809288555497
"Control3"	1303	1398.28409090909	1393.52054398898	4.29655197479688	0.964694220012517	0.599037595808251	0.999840838219396
"Control4"	1200	1348.09278350515	1333.69045720214	4.50783729017535	0.980214125491801	0.635795266340285	0.999817690655359
"Control5"	1706	1966.27516778523	1988.39878152868	4.60822512703199	0.967498115521858	0.619226401973259	0.999715595170622
"Control6"	1318	1425.0487804878	1396.03640126374	4.26213287837791	0.972048015804059	0.593291979690208	0.999835437994769
"Control7"	1909	2138.16267942584	2093.49112622794	4.59738886394086	0.971724535575433	0.608576263988449	0.99964146762337
"Control8"	1813	2223.26548672566	2041.31852715076	4.02378699343488	0.925230820791395	0.536309128801396	0.99968178617074
"Control9"	1362	1515.38144329897	1494.82514673613	4.02062220364353	0.962528264282265	0.557126791794522	0.99978197335538
"Control10"	1640	1846.02247191011	1788.42569496333	5.16904976817156	0.988057294116587	0.698288905186938	0.999784998734628
"Control11"	1504	1638.88461538462	1623.99062125933	4.48117534987317	0.969305143663928	0.612526887164183	0.99982066954307
"Control12"	1507	1886.53488372093	1757.3914549439	3.81436484034379	0.955915240074337	0.521239323652362	0.999683446867917
"Control13"	1388	1588.32894736842	1511.57451357614	3.9599048385308	0.962745084619003	0.547279335925216	0.999759005947733
"Control14"	1506	1622.64130434783	1606.29239324805	4.77538381630257	0.981692179688572	0.652623369364916	0.999845876407557
"Control15"	1457	1545.208	1556.29810983165	4.46048755451324	0.972897116131869	0.612356535565427	0.999820635144196
"Control16"	1372	1571.89655172414	1535.63537755207	5.28477233681326	0.988698684391442	0.731555120180612	0.999810424810628
"Control17"	1512	2039	1976.57293920728	4.40021090913505	0.962654530650752	0.601024119927148	0.999648220781177
"Control18"	1079	1141.29591836735	1147.5639039482	4.04165698161204	0.963519495569153	0.578719721199784	0.999888052589061
"Control19"	1223	1350.99065420561	1347.8982632154	3.28158049342325	0.914335875787851	0.461605262521179	0.999831291211695
"Control20"	1840	2087.57352941176	2043.82796634099	4.98565909149784	0.983055015572453	0.663205222915731	0.99967261005339
"Control21"	1630	1777.71428571429	1775.60778800841	5.00954204282804	0.983846524449083	0.677300560863805	0.999801358370631
"Control22"	1470	1630.8	1632.58942984485	4.80691527363146	0.977635007933146	0.659111973218365	0.999675177238489
"Control23"	1522	1677.04098360656	1674.20713243301	4.57337795988475	0.977109986125891	0.624115028541757	0.999780035577835
"Control24"	1456	1649.14705882353	1606.99747478901	4.23213987342634	0.967963207775281	0.581062669837747	0.999749666011689
"Control25"	1729	1999.47413793103	1949.28310749417	4.68062135588871	0.97787698142098	0.627824810083339	0.999719745023799
"Control26"	1046	1186.58139534884	1182.7402716555	4.5804548408826	0.972860625386502	0.65879959869047	0.999410718130617
"Control27"	2040	2645.27932960894	2603.73889701617	5.14165269401238	0.983203055761344	0.674695141121855	0.999516350166631
"Control28"	1587	1915.66935483871	1953.85394669265	5.25565895640687	0.985696989199666	0.71315382687808	0.999705760106009
"Control29"	1819	1949.00694444444	1931.54114203596	4.85744249346931	0.980490945030889	0.647137649635255	0.999781830286455
"Control30"	1632	1955.75	1913.06373694474	4.98828872530999	0.983531932321694	0.674315272857897	0.999670181349516
"Control31"	1373	1531.625	1523.0739829322	4.68568714380012	0.975652295354159	0.648560148787811	0.999808148511324
"Control32"	1209	1380.11111111111	1349.85812946825	3.79537013331029	0.956589245310205	0.534743784536479	0.999740140855468
"Control33"	1851	2232.92452830189	2205.97109310476	5.34947928348654	0.989767048785684	0.71103775781915	0.999532472403815
"Control34"	1629	2197.875	2195.01211609931	5.13318234101031	0.984017037247158	0.694074576176562	0.999625488257032
