ID	Ion_mode	Q1	Q3	RT	Compound_name	Class_I	Class_II	Disease1	Disease2	Disease3	Disease4	Disease5	Disease6	Disease7	Disease8	Disease9	Disease10	Disease11	Disease12	Disease13	Disease14	Disease15	Disease16	Disease17	Disease18	Disease19	Disease20	Disease21	Disease22	Disease23	Disease24	Disease25	Disease26	Disease27	Disease28	Disease29	Disease30	Disease31	Disease32	Disease33	Disease34	Control1	Control2	Control3	Control4	Control5	Control6	Control7	Control8	Control9	Control10	Control11	Control12	Control13	Control14	Control15	Control16	Control17	Control18	Control19	Control20	Control21	Control22	Control23	Control24	Control25	Control26	Control27	Control28	Control29	Control30	Control31	Control32	Control33	Control34
EPT1355	Negative	546.18519	-	-	unknown	unknown	unknown	13906.995	16934.393	16403.086	50432.249	32089.155	35353.942	2904.147	53825.982	46331.696	23902.21	20781.557	29378.124	57075.983	33675.04	31612.075	14327.189	28038.874	19072.735	28896.38	17173.649	38685.16	29440.965	21482.478	9723.002	51090.663	5860.763	20727.414	25846.005	30090.072	45243.752	60878.219	18324.609	24462.54	34692.13	42160.221	12707.051	22837.223	12020.117	21611.618	35507.787	46947.724	36781.975	41547.916	46493.573	36911.967	37340.237	16551.981	12897.261	18750.657	18397.397	22320.95	55032.859	57426.799	31412.806	19263.063	21763.162	5711.428	34002.981	29432.989	47519.114	102452.41	35024.199	6326.436	64952.395	11765.299	26123.723	26816.54	83855.217
EPT1356	Negative	547.12965	-	-	unknown	unknown	unknown	151103.968	191701.012	347861.385	656303.912	665424.982	586857.762	1427	940637.609	350966.71	648895.661	602126.116	466015.975	670888.545	486610.402	887737.691	469942.652	768225.842	412472.443	1584721.761	1778169.068	564164.03	314106.183	1074945.77	493648.498	393881.119	299176.027	448424.047	891868.932	963782.529	1934939.074	707956.65	311862.451	689475.617	1600141.511	574073.194	923271.974	670126.053	180206.944	1408227.214	1859699.098	1142012.989	482479.615	1450227.877	595297.168	1354058.844	830488.411	2142253.904	152107.166	419310	153583.902	1223482.737	1062490.251	640268.292	770493.721	1110697.118	507408.045	281916.08	602284.087	118923.67	181223.495	462828.599	339507.2	234398.213	1835715.806	897105.239	302780.935	537699.056	459377.742
EPT1357	Negative	547.16467	-	-	unknown	unknown	unknown	265536.42	225951.818	145196.303	264066.26	638161.419	520262.67	14954.168	403180.247	664729.134	485112.098	389622.627	195197.956	176515.084	172576.564	610543.965	141798.983	407354.797	198601.413	890251.824	443443.358	273248.64	455848.865	260274.21	150208.559	133134.189	267262.186	189027.144	429220.987	316259.66	394517.171	88835.863	329189.925	417348.844	327900.025	209425.341	522386.469	397731.224	181621.414	239631.91	371592.09	389893.466	198260.265	267876.222	301269.887	291357.028	337377.509	333959.855	344433.556	255602.052	237093.716	328844.997	422662.572	519330.76	210351.718	553030.458	116212.293	304683.328	331688.948	167675.426	287408.473	504791.639	378986.459	211733.853	237912.998	355001.79	203943.452	419142.192	211479.972
EPT1358	Negative	547.16603	-	-	unknown	unknown	unknown	997613.831	853359.935	717094.166	1231914.599	1013100.454	830538.224	51715.715	1040456.896	1244570.403	1527942.048	803696.714	61548.637	394953.738	603815.225	888284.211	647971.241	791896.364	436617.962	2998721.893	2115950.26	2489750.243	4263241.909	1203382.453	1878113.545	438077.906	1186575.639	1110551.843	1760843.859	1074597.627	2378749.056	502787.353	2396935.787	680404.827	2565897.131	1377316.567	1908776.062	755046.048	792545.152	1178388.111	1158471.44	2342059.113	1403968.01	1262402.925	1955254.465	923908.712	975310.24	1381640.531	1803515.485	1795918.735	1409485.573	2686462.955	1114024.341	863339.921	1132256.704	675640.09	967611.856	605169.708	1134248.422	616410.481	604511.124	930507.187	1113433.041	1197409.408	1331231.207	915608.991	904799.941	2540004.305	665286.577
EPT1359	Negative	547.16686	-	-	unknown	unknown	unknown	2034634.305	517481.461	627281.071	489507.395	609765.646	778434.854	9443.516	367765.615	1407764.303	1931569.132	1155498.323	585727.67	460574.931	617713.906	529608.994	398295.492	591553.162	653026.172	1552184.853	916127.638	555989.71	774078.101	693999.891	679089.302	440465.625	292189.626	435661.084	904951.777	587160.594	638920.256	162516.904	416853.901	1705614.154	1062066.582	359620.487	1146819.005	745710.122	783165.334	483230.838	483722.369	824663.522	302155.368	380565.993	687426.89	605515.282	628720.605	319427.55	550041.577	812638.076	1616561.953	803033.012	531426.234	575663.117	254046.725	1245665.491	787385.889	313265.75	615797.962	266113.971	342276.463	600871.485	481657.02	298673.959	612211.796	976903.721	739724.814	679547.26	633924.233
EPT1360	Negative	547.1785	-	-	unknown	unknown	unknown	299581.066	420226.256	502488.603	667091.44	264911.952	675244.684	6364.871	1247100.095	466432.939	803215.42	609701.742	333706.556	585799.118	483242.605	489924.998	138277.434	346061.297	386967.924	477031.464	184524.61	504543.549	887165.336	238881.013	103669.994	873729.776	100189.829	246240.366	589995.091	469076.992	1007624.785	718021.142	539319.519	343308.674	844720.739	557551.159	303504.356	804956.047	177593.138	396534.035	976839.977	347779.892	335828.707	849035.744	567436.942	352347.233	1033615.12	530077.636	152482.672	721769.05	398097.182	421409.027	786221.529	795361.468	320246.811	595357.322	291213.558	163140.7	482502.405	425519.193	618479.922	1000014.896	424558.18	189221.124	539778.213	170960.64	526547.092	357679.843	830472.162
EPT1361	Negative	547.23565	-	-	unknown	unknown	unknown	141956.831	482425.9	411644.066	482815.358	582766.896	568414.303	217933.187	732687.344	319862.158	355984.153	519522.205	669569.107	356172.906	890855.034	340434.66	695175.376	602722.274	391041.434	367630.407	441922.693	555800.622	895848.565	738461.795	2224468.819	679157.049	1462850.417	695509.338	581406.222	712112.06	294993.566	1217898.308	1036868.702	334986.886	319980.749	1229858.499	1349886.183	1713430.799	542395.514	1028302.074	768860.859	495841.452	1129788.305	975830.803	1588086.284	1087714.795	689594.138	1259531.489	1530989.335	1750941.526	1693482.46	352357.17	595468.92	361168.238	794864.398	1292618	1686030.579	1956784.138	648150.793	921654.226	950515.183	426830.107	1662556.762	1192094.676	412003.96	340450.806	1980818.053	569733.798	1037504.621
EPT1362	Negative	547.25657	-	-	unknown	unknown	unknown	12860.434	37434.853	17039.525	10648.965	53973.694	20094.569	10655.027	23713.107	39019.153	48094.765	87953.174	164164.349	41175.489	13789.22	23866.308	27077.48	29981.228	82310.728	19005.384	13814.05	31137.367	30974.058	71162.404	63517.3	38818.089	32365.832	68158.045	17703.738	21258.43	11033.125	11509.386	21481.252	7572.098	20282.29	44448.853	17636.967	34308.02	37933.981	58704.316	26553.383	7919.367	38557.458	51099.708	28376.615	41993.21	28718.127	31930.656	32709.657	49651.869	20078.592	29731.674	14190.39	26831.082	24500.754	26857.398	17489.334	34018.134	29051.595	34114.959	14320.315	28388.434	24080.779	29572.132	39112.64	20949.737	10296.049	25290.778	35525.882
EPT1363	Negative	547.2742	-	-	unknown	unknown	unknown	2115802.071	980976.113	2135351.253	702610.609	1678214.315	1111032.459	1363980.382	931006.723	1231692.208	848798.331	1715752.34	918040.671	1525486.726	1076851.476	1137041.252	862648.686	1414306.728	975473.331	982421.218	711049.259	1054079.751	403056.587	518822.207	772794.94	838865.6	506605.689	1366374.742	478345.686	1283253.864	908776.561	1194661.492	1213947.555	2631861.389	1305253.972	1064381.693	767384.763	903697.169	947004.056	558364.881	1000131.259	522261.421	427353.47	467715.044	547973.789	957403.874	1086574.908	465109.818	299962.347	567058.082	710847.127	873261.784	583746.519	2593661.88	511592.515	650808.285	889568.453	953988.564	1453185.048	714229.245	449411.707	334624.621	359687.089	1380567.525	704873.176	1474574.908	565612.13	975819.431	854432.144
EPT1364	Negative	547.2752	-	-	unknown	unknown	unknown	472921.513	160554.952	106010.099	263356.107	166806.802	171367.996	13464.422	144652.727	343542.664	382104.982	357005.778	155520.029	103620.249	131793.78	193150.008	100204.728	177556.813	179395.413	412485.111	214222.469	134102.828	328659.078	344650.859	247801.21	157653.01	189196.311	188568.722	291118.979	141384.486	210135.625	46443.758	142726.999	439883.911	278307.239	134787.957	335127.618	203832.177	150648.978	212332.527	149382.38	326829.064	139582.493	202435.992	173189.143	165301.803	267408.268	227356.62	303390.565	248516.611	617072.573	231718.72	217125.908	185830.392	109954.056	406678.817	145473.522	105426.998	201165.684	124272.97	144537.65	314412.783	206780.832	95102.45	171866.708	373837.612	278282.303	266150.986	152962.468
