"Disease1"	"Disease2"	"Disease3"	"Disease4"	"Disease5"	"Disease6"	"Disease7"	"Disease8"	"Disease9"	"Disease10"	"Disease11"	"Disease12"	"Disease13"	"Disease14"	"Disease15"	"Disease16"	"Disease17"	"Disease18"	"Disease19"	"Disease20"	"Disease21"	"Disease22"	"Disease23"	"Disease24"	"Disease25"	"Disease26"	"Disease27"	"Disease28"	"Disease29"	"Disease30"	"Disease31"	"Disease32"	"Disease33"	"Disease34"	"Control1"	"Control2"	"Control3"	"Control4"	"Control5"	"Control6"	"Control7"	"Control8"	"Control9"	"Control10"	"Control11"	"Control12"	"Control13"	"Control14"	"Control15"	"Control16"	"Control17"	"Control18"	"Control19"	"Control20"	"Control21"	"Control22"	"Control23"	"Control24"	"Control25"	"Control26"	"Control27"	"Control28"	"Control29"	"Control30"	"Control31"	"Control32"	"Control33"	"Control34"
"Disease11"	0.520303365132098	0.684364213905073	0.809759063585079	0.562287521329181	0.50243731990461	0.434544899002305	0.708693553802832	0.648635279084544	0.349541480729219	0.509817494379278	0	0.564680098245319	0.584878671597533	0.41107290616739	0.36671623755352	0.472513426238164	0.490018465674636	0.636714082975143	0.508967837640901	0.453652662397631	0.581853517996062	0.28136820520666	0.47041784147709	0.555139578623435	0.609112537156091	0.394269357375753	0.521139076529394	0.344486070982294	0.391075420683023	0.627807450564541	0.54006787501109	0.508305640858123	0.563246473987189	0.601383813507882	0.654373166019392	0.641091673897526	0.490692188213325	0.320934012464494	0.762353443716669	0.265568336835601	0.638823651269709	0.775208647565208	0.353256665337145	0.461671935259483	0.354597562729975	0.593260867524173	0.481400717830711	0.466856546237828	0.513990109837141	0.653763550097986	0.496151459817987	0.587239332637123	0.904177047566287	0.472528752032238	0.321173295305819	0.267511303551011	0.488222360070048	0.529255997525256	0.399073078006826	0.482581825825497	0.719697973283317	0.435665774922757	0.5959130363303	0.538286442223546	0.617129747894493	0.515644961895781	0.504148854912201	0.682085251061552
"Disease12"	0.48565022986306	0.475083570632162	0.774380620754168	0.634500441590592	0.49055883042855	0.592738969507126	0.729999289034729	0.604241381181042	0.62431789120936	0.587656422448121	0.564680098245319	0	0.661289558653763	0.484625241783188	0.699638484098361	0.456988779352536	0.504705569445593	0.480031899264223	0.644014338906095	0.486858840548189	0.60595106281335	0.57611130500568	0.586968125807156	0.446006410257398	0.855720817695994	0.727254061180347	0.637796221806866	0.631282155103171	0.465648040396984	0.501576742413628	0.642553091855043	0.583564414264132	0.420298039816961	0.588476478578787	0.93514028044512	0.614403960512337	0.774988262895036	0.650854325390639	0.793225993878873	0.653773046690256	0.821715918903593	0.574725399459043	0.698771221240294	0.728938386939507	0.608549242296684	0.873358923914921	0.737756926599697	0.600144051214207	0.717033517823933	0.427200719924437	0.596286201346046	0.633573047759536	0.937199326779637	0.590199409143506	0.593586091175009	0.604719484057371	0.73111734939787	0.748992059727053	0.593395204555709	0.548132015497804	0.520495858622405	0.485294746536089	0.694592907216295	0.751169613422971	0.638391149414928	0.784592518643453	0.420026792720322	0.539114390415231
"Disease13"	0.559706277899909	0.755185436216709	0.65290019228268	0.641439988553043	0.661241011449888	0.781871255735343	0.70362916904685	0.551370838263703	0.53908475728042	0.434575271260309	0.584878671597533	0.661289558653763	0	0.612452817433123	0.725448438012826	0.570639700505851	0.451877398445947	0.551549354900542	0.602725880984589	0.468738461330179	0.559558540895877	0.678161774138212	0.409154856855129	0.640219087269765	0.639751501629927	0.572066125468138	0.391465514944879	0.636233679447279	0.560301999293072	0.475312452014346	0.415637041031426	0.517078094890432	0.434592837787353	0.538814169323345	0.963439975906614	0.621852937499914	0.836845544424336	0.540515750296592	0.60549543336765	0.593170799174126	0.912846172099989	0.902400963618703	0.710422618875036	0.659875009037347	0.54923393713088	0.881710623609967	0.82041781023893	0.866848279074281	0.872670350041016	0.740113758489179	0.511307375148872	0.463411229880388	0.629509790076918	0.814620613903065	0.694969871458067	0.600502015954247	0.558434970630543	0.871420346148663	0.741727007129218	0.542810132628253	0.768104452525101	0.555726136119353	0.730470619515739	0.916765998968184	0.511750821550554	0.836211860198518	0.504726301001717	0.76787007881541
"Disease14"	0.412869438230684	0.587039770072246	0.857380067024112	0.507325957309267	0.349547503164906	0.413311642694127	0.67742227919592	0.539553012306785	0.489500663157357	0.43449513340178	0.41107290616739	0.484625241783188	0.612452817433123	0	0.550906567075907	0.367071989330153	0.405218515671167	0.466654922001505	0.587799100883355	0.42069817572486	0.487847574498624	0.416160153605359	0.537776128220653	0.45809035127249	0.744046492717418	0.596196215256045	0.590776217454172	0.503173277983942	0.274684670839905	0.566310981509972	0.603940017434636	0.518211554500013	0.43730296107788	0.613985913414576	0.747134068917584	0.586046326254161	0.610950525332853	0.435670390827884	0.814380956227625	0.464605682954283	0.672769620151011	0.72225838997484	0.557093815462337	0.590923726184653	0.485410700025469	0.707684433580099	0.612290364896184	0.522162970309463	0.54552131254064	0.545460009626351	0.518047516828384	0.560069996070948	0.935184743567109	0.532608819328947	0.409463175397587	0.484060691970551	0.600714323889431	0.620200200491434	0.527787240975851	0.557567983456429	0.593318198102903	0.479737260317855	0.721300371441796	0.650052945925285	0.587504056450744	0.590014233259084	0.47640372377626	0.594004138769504
"Disease15"	0.718898696750683	0.802639567869812	0.868444929438957	0.749855559442652	0.675946462847537	0.301711734382847	0.848508439088443	0.809659049009057	0.42328469828151	0.655245710344394	0.36671623755352	0.699638484098361	0.725448438012826	0.550906567075907	0	0.671948501138398	0.686089491909353	0.799476395530179	0.603928439339058	0.648104112631764	0.759720564563614	0.41367222341211	0.694970183783889	0.705911379209912	0.605063695057783	0.287294639307603	0.660565312836106	0.224738296507675	0.553135131931003	0.761919615033406	0.660547193534477	0.677930926923248	0.730830718782397	0.734570299719298	0.405116442152873	0.754991191855534	0.383511523543474	0.359057802423341	0.800332845908632	0.237810184610524	0.634139949343995	0.84290354670497	0.245070201416714	0.558018915299275	0.456264526492028	0.398307033865106	0.305398736415371	0.41846877223779	0.366232276881783	0.805018959606055	0.676984065232456	0.758344977122011	0.923814642188101	0.491577811846168	0.47022987533069	0.368517852034237	0.452198171318645	0.321319407409041	0.341789356093344	0.674878901950511	0.839042264902255	0.650498400182941	0.686437783362502	0.402997262917418	0.767840946827296	0.344844886211553	0.694107730493691	0.847799570856371
"Disease16"	0.477235891747171	0.524603188292525	0.809224725136934	0.538857409962831	0.42771957244609	0.611132352214966	0.705230341106023	0.531511229391273	0.626726860786921	0.421678851152615	0.472513426238164	0.456988779352536	0.570639700505851	0.367071989330153	0.671948501138398	0	0.3366745799826	0.46816766057712	0.557688074722094	0.327360954875342	0.405788590811472	0.539412816231247	0.460354808525574	0.412598306050483	0.894328511406501	0.707308362700471	0.539255182306393	0.651134851689575	0.384540593708819	0.542490420861309	0.565904349294737	0.466363584049898	0.416592016234451	0.533445146557027	0.966076670451568	0.550887452752929	0.80656558523509	0.569920108952025	0.851373198545834	0.58547365684725	0.872085699384639	0.731109941150817	0.677226135366548	0.722424844056759	0.538288594048137	0.903414394701626	0.786295376487594	0.720793791691208	0.774693501711193	0.510356849599477	0.388273829138332	0.544290219326364	0.924190445544226	0.71394068289187	0.52964045939787	0.541633642299511	0.761444582942468	0.812162512646506	0.673921258249849	0.470933481834284	0.504808325172628	0.340509229804331	0.62066458090747	0.841835844926681	0.625090995510879	0.809279881723097	0.436673999652769	0.486032671447624
"Disease17"	0.410137987901734	0.579727366430432	0.853567665476836	0.564927278794626	0.383950998469383	0.625944713065275	0.662898430814525	0.55780298480648	0.608854063264806	0.369835387466345	0.490018465674636	0.504705569445593	0.451877398445947	0.405218515671167	0.686089491909353	0.3366745799826	0	0.453457752666986	0.525111543746547	0.263842151103241	0.397689638426242	0.52034367648202	0.340081243428118	0.457345863826156	0.900220438932428	0.728764545745441	0.443744455239668	0.636559296158113	0.422141505178146	0.438553385284152	0.516326070560393	0.415201959741445	0.345248328124935	0.443642937876334	0.945816221919	0.521922390337974	0.800224079575726	0.456240086888996	0.87181701683736	0.531895919152415	0.856772339139511	0.762528058684122	0.659394726907088	0.722962510735537	0.462975430992881	0.903762753367509	0.778253137783382	0.739762091219778	0.767673571285661	0.586436191112698	0.358566415159519	0.409661457383841	0.940866318694614	0.720732332490117	0.537894534971299	0.537488159940567	0.779954695206909	0.81923920876944	0.678406252630127	0.471174876124966	0.557590106295961	0.386024471596129	0.636152546807097	0.852169803004972	0.575152877750075	0.787784272953109	0.474702851256998	0.602744980760687
"Disease18"	0.322502878291203	0.56618672210984	0.868223042814477	0.652486665450328	0.514033249487309	0.637380278018762	0.648606188471905	0.551544887938147	0.693061360492376	0.477865394412675	0.636714082975143	0.480031899264223	0.551549354900542	0.466654922001505	0.799476395530179	0.46816766057712	0.453457752666986	0	0.668465816478877	0.470416768155883	0.578257244530609	0.63808431480825	0.55938754969155	0.513272192674793	0.96267020625715	0.836645959162478	0.592856207436549	0.741509249494995	0.471070526694071	0.534402386648566	0.531685350576163	0.550461672187601	0.308572947416184	0.591846029445377	0.993608738225268	0.602663300622266	0.84847817993545	0.65281725297101	0.912477476919092	0.700605057459467	0.91578010588432	0.73890563914659	0.795036885117054	0.799965445889514	0.656058900656927	0.949619377488969	0.842316816500678	0.744704955069776	0.800310207923246	0.546803673835016	0.549419902141965	0.523942467315517	0.946775755101325	0.733765046084129	0.614311600044478	0.677467081634049	0.823489713160725	0.858836444953985	0.74171737895496	0.503054129255465	0.552128483948712	0.550057283050812	0.786187115164273	0.888111423581619	0.549973392672033	0.835396304517347	0.506189993165936	0.563427108159377
"Disease19"	0.591935654683214	0.762197264166569	0.860890019545275	0.650553171632511	0.600776682077717	0.711119714274181	0.744998675043899	0.718442480437784	0.626937679669056	0.517249641988094	0.508967837640901	0.644014338906095	0.602725880984589	0.587799100883355	0.603928439339058	0.557688074722094	0.525111543746547	0.668465816478877	0	0.450915128410483	0.598632403457382	0.601690011479295	0.509889494435932	0.627278409354117	0.878980210576334	0.662626053586802	0.508319154046956	0.634111051459414	0.556454728180096	0.66774524742489	0.424460829795271	0.344366900028332	0.588132579204807	0.613079784627613	0.907018209960322	0.615299604180263	0.791914802504406	0.559767647665412	0.807328179888343	0.49919067603718	0.843285598364027	0.803978626017343	0.52322944489258	0.780584646136516	0.398553010546915	0.872490674399772	0.690586586578668	0.779059347980815	0.800160038555587	0.748033854697785	0.507908864331105	0.538261649456127	0.942849569434895	0.666376824514783	0.650691632276418	0.444057036164212	0.788323700341181	0.762810988252959	0.615690042193116	0.514439910461477	0.780115165142075	0.520552864643632	0.646728158767047	0.784195491625444	0.694201924932873	0.775822334946483	0.611270908074303	0.757894627418694
"Disease20"	0.439856950475086	0.61620487470928	0.807602803383833	0.528965930115618	0.428016728074279	0.634543263328322	0.626675840187967	0.514423819701832	0.570925353766776	0.348124413197118	0.453652662397631	0.486858840548189	0.468738461330179	0.42069817572486	0.648104112631764	0.327360954875342	0.263842151103241	0.470416768155883	0.450915128410483	0	0.425501163335922	0.536214869723468	0.395029956127436	0.431635935819679	0.871707391345852	0.672861574568831	0.391932987624298	0.597212326074118	0.404547134684074	0.45087526030326	0.437009590364167	0.405316289066102	0.382797327595764	0.454357905507754	0.936336366842218	0.495901103671595	0.779879376079324	0.489153627211782	0.824343542950659	0.515615056422187	0.806064487482896	0.76151951923178	0.602792595051235	0.716147812716206	0.444958902123342	0.871611835033212	0.750118929360741	0.736104899400832	0.766536325902687	0.603282755753896	0.367739145900986	0.392017396490913	0.91584422724583	0.686142547273641	0.521502083075259	0.478144464913748	0.747907383918751	0.787708416892353	0.618391992301248	0.442473876744067	0.592144085639836	0.351686402322455	0.589550228126767	0.817760823146247	0.534885607727804	0.779783493005854	0.468472468359644	0.598579575865247
